Artist 52/948 | Stage Name: Choiza | Full Name: Choi Jae-ho | Gender: Male | Birth Year: 1980-03-17 | Age: 45 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 1999–present | Group: Dynamic Duo | Genre: Hip hop | 
Artist 53/948 | Stage Name: Alex Chu | Full Name: Chu Hun-gon | Gender: Male | Birth Year: 1979-09-02 | Age: 46 | Birth Place: Vancouver, British Columbia, Canada | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2001–present | Group: Clazziquai | Genre: Electropop | 
Artist 54/948 | Stage Name: Chuei Liyu | Full Name: Chuei Liyu | Gender: Male | Birth Year: 2004-01-02 | Age: 22 | Birth Place: Taipei, Taiwan | Nationality: Chinese | Occupation(s):  | Years Active: 2025–present | Group: None | Genre: K-pop | 
Artist 55/948 | Stage Name: Chun Myung-hoon | Full Name: Chun Myung-hoon | Gender: Male | Birth Year: 1978-04-06 | Age: 47 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 1996–present | Group: None | Genre: K-pop | 
Artist 56/948 | Stage Name: CNU (singer) | Full Name: Shin Dong-woo | Gender: Male | Birth Year: 1991-06-16 | Age: 34 | Birth Place: Cheongju, North Chungcheong, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, composer, actor | Years Active: 2011–present | Group: B1A4 | Genre: K-pop | 
Artist 57/948 | Stage Name: Cream (rapper) | Full Name: Kim Gi Seok | Gender: Male | Birth Year: Not found | Age: Unknown | Birth Place: Unknown | Nationality: Korean | Occupation(s):  | Years Active: 2011–Present | Group: None | Genre: K-pop | 
Artist 58/948 | Stage Name: Crush (singer) | Full Name: Shin Hyo-seob | Gender: Male | Birth Year: 1992-05-03 | Age: 33 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2012–present | Group: None | Genre: K-pop | 
Artist 59/948 | Stage Name: Daesung | Full Name: Kang Dae-sung | Gender: Male | Birth Year: 1989-04-26 | Age: 36 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, television personality | Years Active: 2006–present | Group: Big Bang | Genre: K-pop, J-pop, hip hop, dance, electronic, R&B | 
Artist 60/948 | Stage Name: Dawn (rapper) | Full Name: Kim Hyo-jong | Gender: Male | Birth Year: 1994-06-01 | Age: 31 | Birth Place: Hwasun-gun, South Korea | Nationality: South Korean | Occupation(s): Rapper, singer, dancer | Years Active: 2016–present | Group: Pentagon | Genre: K-pop, electronic, dance-pop | 
Artist 61/948 | Stage Name: Dino (South Korean singer) | Full Name: Lee Chan | Gender: Male | Birth Year: 1999-02-11 | Age: 27 | Birth Place: Iksan, South Korea | Nationality: Korean | Occupation(s): Singer, dancer, rapper | Years Active: 2015–present | Group: Seventeen | Genre: K-pop | 
Artist 62/948 | Stage Name: DJ Clazzi | Full Name: Kim Sung-hoon | Gender: Male | Birth Year: 1974-11-15 | Age: 51 | Birth Place: Unknown | Nationality: South Korean | Occupation(s):  | Years Active: 2001–present | Group: Clazziquai | Genre: Electropop | 
Artist 63/948 | Stage Name: DJ Shine | Full Name: DJ Shine | Gender: Unknown | Birth Year: 1974-06-11 | Age: 51 | Birth Place: Unknown | Nationality: Korean | Occupation(s):  | Years Active: 1990s–2005, present | Group: None | Genre: Korean hip hop | 
Artist 64/948 | Stage Name: DK (singer) | Full Name: Lee Seok-min | Gender: Male | Birth Year: 1997-02-18 | Age: 29 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2015–present | Group: Seventeen | Genre: K-pop | 
Artist 65/948 | Stage Name: Do Han-se | Full Name: Do Han-se | Gender: Male | Birth Year: 1997-09-25 | Age: 28 | Birth Place: Incheon, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, songwriter | Years Active: 2016-present | Group: Victon | Genre: K-pop, dance-pop, hip hop | 
Artist 66/948 | Stage Name: Doh Kyung-soo | Full Name: Doh Kyung-soo | Gender: Male | Birth Year: 1993-01-12 | Age: 33 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2012–present | Group: Exo | Genre: K-pop, R&B, hip hop, EDM, electropop, dance-pop | 
Artist 67/948 | Stage Name: Dongpyo | Full Name: Son Dong-pyo | Gender: Male | Birth Year: 2002-09-09 | Age: 23 | Birth Place: Yeongdeok, North Gyeongsang Province, South Korea | Nationality: Korean | Occupation(s): Singer, actor | Years Active: 2019–present | Group: None | Genre: K-pop | 
Artist 68/948 | Stage Name: Dowoon | Full Name: Yoon Do-woon | Gender: Unknown | Birth Year: 1995-08-25 | Age: 30 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2015–present | Group: Day6 | Genre: Pop rock, K-pop, pop punk, power pop | 
