Artist 39/50 | Stage Name: Kim Jin-ho (singer) | Full Name: Kim Jin-ho | Gender: Male | Birth Year: 1986-05-21 | Age: 39 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, Actor | Years Active: 2004–present | Current Group: SG Wannabe | Genre: Kpop, R&B, ballad | 
Artist 40/50 | Stage Name: Hong Jin-kyung | Full Name: Not found | Gender: Unknown | Birth Year: 1977-12-23 | Age: 48 | Birth Place: Unknown | Nationality: Not Found | Occupation(s): Entrepreneur, model, host, comedian, actress | Years Active: 1993–present | Current Group: None | Genre: K-pop | 
Artist 41/50 | Stage Name: Choi Hyun-suk | Full Name: Choi Hyun-suk | Gender: Male | Birth Year: 1999-04-21 | Age: 26 | Birth Place: Daegu, South Korea | Nationality: Korean | Occupation(s): Rapper, singer, dancer | Years Active: 2020–present | Current Group: Treasure | Genre: K-pop, dance, hip hop, ballad | 
Artist 42/50 | Stage Name: Minzy | Full Name: Gong Min-ji | Gender: Female | Birth Year: 1994-01-18 | Age: 32 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, dancer, rapper | Years Active: 2009–present | Current Group: 2NE1 | Genre: K-pop, hip hop, dance-pop, electropop, R&B | 
Artist 43/50 | Stage Name: Kang Min-hyuk | Full Name: Kang Min-hyuk | Gender: Male | Birth Year: 1991-06-28 | Age: 34 | Birth Place: Ilsan-gu, Goyang, South Korea | Nationality: Korean | Occupation(s): Singer, songwriter, drummer, actor | Years Active: 2009–present | Current Group: CNBLUE | Genre: Rock, pop, electronic | 
Artist 44/50 | Stage Name: Koo Jun-yup | Full Name: Koo Jun-yup | Gender: Male | Birth Year: 1969-09-11 | Age: 56 | Birth Place: Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, DJ, music producer, dancer, songwriter | Years Active: 1996–present | Current Group: None | Genre: K-pop | 
Artist 45/50 | Stage Name: Shotaro (rapper) | Full Name: Osaki Shotaro | Gender: Male | Birth Year: 2000-11-25 | Age: 25 | Birth Place: Kanagawa Prefecture, Japan | Nationality: Japanese | Occupation(s): Rapper, singer, dancer | Years Active: 2020  –present | Current Group: Riize | Genre: K-pop | 
Artist 46/50 | Stage Name: Kim Jeong-hoon | Full Name: Kim Jeong-hoon | Gender: Male | Birth Year: 1980-01-20 | Age: 46 | Birth Place: Jinju, South Korea | Nationality: Korean | Occupation(s): Not found | Years Active: 2000–present | Current Group: None | Genre: K-pop | 
Artist 47/50 | Stage Name: Jung Chan-woo (singer) | Full Name: Jung Chan-woo | Gender: Male | Birth Year: 1998-01-26 | Age: 28 | Birth Place: Songpa-gu, Seoul, South Korea | Nationality: Korean | Occupation(s): Singer, Actor, YouTuber | Years Active: 2006–present | Current Group: None | Genre: K-pop | 
Artist 48/50 | Stage Name: Chae Bo-hun | Full Name: Chae Bo-hun | Gender: Male | Birth Year: 1992-08-23 | Age: 33 | Birth Place: Daegu | Nationality: South Korean | Occupation(s):  | Years Active: 2015–present | Current Group: None | Genre: K-pop | 
Artist 49/50 | Stage Name: Lee Su-jeong | Full Name: Lee Su-jeong | Gender: Female | Birth Year: 1992-07-06 | Age: 33 | Birth Place: Gwangju, South Korea | Nationality: Korean | Occupation(s):  | Years Active: 2011–present | Current Group: None | Genre: K-pop, bubblegum pop, synth-pop | 
Artist 50/50 | Stage Name: N (singer) | Full Name: Cha Hak-yeon | Gender: Male | Birth Year: 1990-06-30 | Age: 35 | Birth Place: Changwon, South Korea | Nationality: Korean | Occupation(s): Singer, actor, presenter | Years Active: 2012–present | Current Group: VIXX | Genre: K-pop | 
